필드명,한글명,그룹,충족률(%),채워진건수,고유값수,다중값최대,코드북,매칭활용,예시값,비고
operInstCd,운영기관코드,기관,44,236,103,1,,-,B490007,
operInstCdNm,운영기관코드명,기관,45,238,105,1,,○,한국산업인력공단,실제 운영 주체
operInstPicNm,운영기관담당자명,기관,25,134,117,1,,-,청년정책담당자,개인정보성. 노출 금지 권장
rgtrInstCd,등록자기관코드,기관,100,534,118,1,,-,1492000,
rgtrInstCdNm,등록자기관코드명,기관,100,534,119,1,,○,고용노동부,중복 등재 판별에 사용
rgtrUpInstCd,등록자상위기관코드,기관,90,483,71,1,,-,0000000,
rgtrUpInstCdNm,등록자상위기관코드명,기관,90,478,87,1,,-,고용노동부,
rgtrHghrkInstCd,등록자최상위기관코드,기관,90,483,51,1,,-,1492000,
rgtrHghrkInstCdNm,등록자최상위기관코드명,기관,90,478,52,1,,-,고용노동부,
plcyAprvSttsCd,정책승인상태코드,메타,100,534,1,1,O,-,0044002,534건 전부 0044002(승인) → 필터 불필요
inqCnt,조회수,메타,100,534,457,1,,○,194,인기도 정렬 보조 지표로 사용 가능
frstRegDt,최초등록일시,메타,100,534,534,1,,○,2026-07-18 14:21:14,
lastMdfcnDt,최종수정일시,메타,100,534,320,1,,◎,2026-07-20 09:29:41,정책 갱신 감지 → 재추출 트리거
bscPlanCycl,기본계획 차수,메타,100,534,2,1,,-,2,청년정책 기본계획 연계 정보
bscPlanPlcyWayNo,기본계획 정책방향번호,메타,100,534,5,1,,-,002,
bscPlanFcsAsmtNo,기본계획 중점과제번호,메타,100,534,20,1,,-,005,
bscPlanAsmtNo,기본계획 과제번호,메타,100,534,52,1,,-,019,
